date,close,high,low,ma10,ma20,ma5,open,p_change,price_change,turnover,v_ma10,v_ma20,v_ma5,volume
2017-03-13,8.28,8.31,8.11,8.504,8.739,8.386,8.3,-0.24,-0.02,2.17,89855.57,118906.22,87171.85,97365.99
2017-03-14,8.36,8.36,8.26,8.471,8.706,8.344,8.28,0.97,0.08,1.64,90112.59,113944.9,86982.45,73429.09
2017-03-15,8.28,8.38,8.27,8.437,8.677,8.302,8.36,-0.96,-0.08,0.96,81722.23,106984.96,82526.21,43211.29
2017-03-16,8.39,8.41,8.26,8.416,8.642,8.322,8.27,1.33,0.11,1.47,81926.52,101194.68,69115.27,65896.94
2017-03-17,8.36,8.46,8.35,8.397,8.613,8.334,8.38,-0.36,-0.03,1.52,78554.99,96961.94,69590.43,68048.83
2017-03-20,8.45,8.46,8.31,8.377,8.583,8.368,8.36,1.08,0.09,1.59,75786.6,94377.1,64401.35,71420.6
2017-03-21,8.44,8.45,8.37,8.364,8.551,8.384,8.44,-0.12,-0.01,1.41,74660.17,88896.71,62337.9,63111.85
2017-03-22,8.22,8.4,8.17,8.337,8.507,8.372,8.4,-2.61,-0.22,2.44,79036.9,87489.82,75547.58,109259.68
2017-03-23,8.4,8.49,8.23,8.348,8.479,8.374,8.25,2.19,0.18,2.55,77146.87,87224.11,85178.47,114051.4
2017-03-24,8.3,8.38,8.22,8.348,8.445,8.362,8.37,-1.19,-0.1,1.73,78327.53,86880.94,87064.62,77479.59
2017-03-27,8.29,8.33,8.17,8.349,8.427,8.33,8.31,-0.12,-0.01,1.81,76707.12,83281.34,89012.88,81161.88
2017-03-28,8.22,8.41,8.18,8.335,8.403,8.286,8.3,-0.84,-0.07,2.6,80998.41,85555.5,99658.91,116342.02
2017-03-29,8.04,8.22,7.98,8.311,8.374,8.25,8.2,-2.19,-0.18,2.44,87587.83,84655.03,99628.07,109105.48
2017-03-30,7.81,8.04,7.8,8.253,8.335,8.132,8.0,-2.86,-0.23,2.37,91591.33,86758.93,98004.19,105931.99
2017-03-31,7.83,7.93,7.77,8.2,8.299,8.038,7.79,0.26,0.02,1.64,92126.93,85340.96,97189.23,73404.77
2017-04-05,7.95,7.96,7.81,8.15,8.264,7.97,7.83,1.53,0.12,1.26,90643.74,83215.17,92274.59,56588.69
2017-04-06,7.98,8.01,7.91,8.104,8.234,7.922,7.94,0.38,0.03,1.14,89447.52,82053.85,79236.12,51149.67
2017-04-07,7.9,8.02,7.9,8.072,8.205,7.894,8.01,-1.0,-0.08,1.32,84410.42,81723.66,69192.76,58888.66
2017-04-10,7.77,7.94,7.75,8.009,8.179,7.886,7.9,-1.65,-0.13,1.45,79506.87,78326.87,61009.54,65015.92
2017-04-11,7.77,7.78,7.55,7.956,8.152,7.874,7.76,0.0,0.0,2.17,81498.41,79912.97,65807.59,97395.01
2017-04-12,7.78,7.82,7.68,7.905,8.127,7.84,7.74,0.13,0.01,1.31,79268.82,77987.97,66263.05,58866.01
2017-04-13,7.72,7.82,7.71,7.855,8.095,7.788,7.78,-0.77,-0.06,1.15,72800.65,76899.53,66365.18,51660.32
2017-04-14,7.49,7.74,7.44,7.8,8.056,7.706,7.73,-2.98,-0.23,1.77,69814.52,78701.17,70436.28,79244.13
2017-04-17,7.24,7.48,7.22,7.743,7.998,7.6,7.48,-3.34,-0.25,1.75,67059.77,79325.55,73110.0,78384.54
2017-04-18,7.08,7.31,7.06,7.668,7.934,7.462,7.25,-2.21,-0.16,1.51,66500.57,79313.75,67193.55,67812.77
2017-04-19,6.88,7.07,6.81,7.561,7.856,7.282,7.04,-2.83,-0.2,1.89,69285.89,79964.81,72308.72,84441.85
2017-04-20,6.79,6.93,6.6,7.442,7.773,7.096,6.89,-1.31,-0.09,1.56,71168.42,80307.97,75971.66,69975.02
2017-04-21,6.71,6.81,6.65,7.323,7.698,6.94,6.79,-1.18,-0.08,1.17,70534.1,77472.26,70631.92,52545.42
